	Anoalb	Anoatr	Anochr	Anocul	Anodar	Anodir	Anoepi	Anofar	Anofun	Anogam	Anomac	Anomin	Anosin	Anoste
Number of genes	12189	13756	10813	14343	10527	12912	11896	12964	13588	13075	14841	12763	12880	11789
Number of genes in orthogroups	10986	12545	10342	13362	10170	11950	11760	12109	12220	12558	12884	11747	11900	11565
Number of unassigned genes	1203	1211	471	981	357	962	136	855	1368	517	1957	1016	980	224
Percentage of genes in orthogroups	90.1	91.2	95.6	93.2	96.6	92.5	98.9	93.4	89.9	96.0	86.8	92.0	92.4	98.1
Percentage of unassigned genes	9.9	8.8	4.4	6.8	3.4	7.5	1.1	6.6	10.1	4.0	13.2	8.0	7.6	1.9
Number of orthogroups containing species	9963	10966	9392	11386	8986	10587	10474	10875	10688	10235	10003	10586	10141	10294
Percentage of orthogroups containing species	72.8	80.2	68.7	83.2	65.7	77.4	76.6	79.5	78.1	74.8	73.1	77.4	74.1	75.3
Number of species-specific orthogroups	1	6	0	2	0	3	2	0	3	2	1	0	2	1
Number of genes in species-specific orthogroups	4	20	0	9	0	9	5	0	9	8	2	0	5	2
Percentage of genes in species-specific orthogroups	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	3714	2711	4285	2291	4691	3090	3203	2802	2989	3442	3674	3091	3536	3383
'1	9322	9976	8695	9988	8213	9811	9682	10086	9821	9077	8050	9833	9017	9471
'2	483	739	577	1112	586	577	604	599	641	801	1441	584	842	627
'3	86	137	70	174	107	107	108	105	113	175	323	92	181	109
'4	29	50	26	59	37	31	36	35	46	62	105	32	37	44
'5	18	29	10	20	13	20	13	17	18	29	42	15	25	15
'6	7	12	5	11	15	6	10	12	12	28	16	7	12	8
'7	6	7	2	6	6	10	5	4	10	14	5	8	7	5
'8	2	2	3	7	0	5	1	2	6	9	7	3	7	3
'9	3	2	0	3	2	4	3	5	3	9	3	3	4	2
'10	1	1	0	1	3	2	5	2	4	6	3	2	3	3
11-15	3	8	2	1	2	6	2	6	9	10	6	5	2	4
16-20	1	1	2	3	0	6	2	1	2	6	1	2	3	3
21-50	2	2	0	1	2	2	3	1	3	8	1	0	0	0
51-100	0	0	0	0	0	0	0	0	0	1	0	0	1	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	27.2	19.8	31.3	16.8	34.3	22.6	23.4	20.5	21.9	25.2	26.9	22.6	25.9	24.7
'1	68.2	72.9	63.6	73.0	60.0	71.7	70.8	73.7	71.8	66.4	58.9	71.9	65.9	69.2
'2	3.5	5.4	4.2	8.1	4.3	4.2	4.4	4.4	4.7	5.9	10.5	4.3	6.2	4.6
'3	0.6	1.0	0.5	1.3	0.8	0.8	0.8	0.8	0.8	1.3	2.4	0.7	1.3	0.8
'4	0.2	0.4	0.2	0.4	0.3	0.2	0.3	0.3	0.3	0.5	0.8	0.2	0.3	0.3
'5	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.3	0.1	0.2	0.1
'6	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1
'7	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0
'8	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
