	Anoalb	Anoatr	Anochr	Anocul	Anodar	Anodir	Anoepi	Anofar	Anofun	Anogam	Anomac	Anomin	Anosin	Anoste
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	9322	9976	8695	9988	8213	9811	9682	10086	9821	9077	8050	9833	9017	9471
'2	966	1478	1154	2224	1172	1154	1208	1198	1282	1602	2882	1168	1684	1254
'3	258	411	210	522	321	321	324	315	339	525	969	276	543	327
'4	116	200	104	236	148	124	144	140	184	248	420	128	148	176
'5	90	145	50	100	65	100	65	85	90	145	210	75	125	75
'6	42	72	30	66	90	36	60	72	72	168	96	42	72	48
'7	42	49	14	42	42	70	35	28	70	98	35	56	49	35
'8	16	16	24	56	0	40	8	16	48	72	56	24	56	24
'9	27	18	0	27	18	36	27	45	27	81	27	27	36	18
'10	10	10	0	10	30	20	50	20	40	60	30	20	30	30
11-15	35	104	25	14	25	75	23	67	119	127	72	66	25	51
16-20	17	18	36	55	0	102	39	16	34	112	16	32	57	56
21-50	45	48	0	22	46	61	95	21	94	191	21	0	0	0
51-100	0	0	0	0	0	0	0	0	0	52	0	0	58	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	76.5	72.5	80.4	69.6	78.0	76.0	81.4	77.8	72.3	69.4	54.2	77.0	70.0	80.3
'2	7.9	10.7	10.7	15.5	11.1	8.9	10.2	9.2	9.4	12.3	19.4	9.2	13.1	10.6
'3	2.1	3.0	1.9	3.6	3.0	2.5	2.7	2.4	2.5	4.0	6.5	2.2	4.2	2.8
'4	1.0	1.5	1.0	1.6	1.4	1.0	1.2	1.1	1.4	1.9	2.8	1.0	1.1	1.5
'5	0.7	1.1	0.5	0.7	0.6	0.8	0.5	0.7	0.7	1.1	1.4	0.6	1.0	0.6
'6	0.3	0.5	0.3	0.5	0.9	0.3	0.5	0.6	0.5	1.3	0.6	0.3	0.6	0.4
'7	0.3	0.4	0.1	0.3	0.4	0.5	0.3	0.2	0.5	0.7	0.2	0.4	0.4	0.3
'8	0.1	0.1	0.2	0.4	0.0	0.3	0.1	0.1	0.4	0.6	0.4	0.2	0.4	0.2
'9	0.2	0.1	0.0	0.2	0.2	0.3	0.2	0.3	0.2	0.6	0.2	0.2	0.3	0.2
'10	0.1	0.1	0.0	0.1	0.3	0.2	0.4	0.2	0.3	0.5	0.2	0.2	0.2	0.3
11-15	0.3	0.8	0.2	0.1	0.2	0.6	0.2	0.5	0.9	1.0	0.5	0.5	0.2	0.4
16-20	0.1	0.1	0.3	0.4	0.0	0.8	0.3	0.1	0.3	0.9	0.1	0.3	0.4	0.5
21-50	0.4	0.3	0.0	0.2	0.4	0.5	0.8	0.2	0.7	1.5	0.1	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.5	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
