orthogroup	ref_sps	relative_age	outgroup_sps	node_name
OG0000000_0	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_1	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_10	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_11	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_12	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_13	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_14	Anogam	5.0	Anogam,Anofar	cellia
OG0000000_15	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_16	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_17	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_18	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_19	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_2	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_20	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_21	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000000_22	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000000_23	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_3	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_4	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_5	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_6	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_7	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_8	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000000_9	Anogam	5.0	Anogam,Anofar	cellia
OG0000000_nan	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_0	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_1	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_10	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_11	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_12	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_13	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000001_14	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_15	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_16	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_17	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_18	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_19	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_2	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_20	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_21	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_3	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_4	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_5	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_6	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000001_7	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_8	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_9	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000001_nan	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000002_0	Anogam	5.0	Anogam,Anofar	cellia
OG0000002_1	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_10	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000002_11	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_12	Anogam	5.0	Anogam,Anofar	cellia
OG0000002_13	Anogam	5.0	Anogam,Anofar	cellia
OG0000002_14	Anogam	5.0	Anogam,Anofar	cellia
OG0000002_15	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_16	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000002_17	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_18	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000002_19	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_2	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000002_20	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_21	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000002_22	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_23	Anogam	2.0	Anogam,Anoepi	pyretophorus
OG0000002_24	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000002_25	Anogam	2.0	Anogam,Anoepi	pyretophorus
OG0000002_26	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_27	Anogam	5.0	Anogam,Anofar	cellia
OG0000002_28	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_3	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000002_4	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000002_5	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000002_6	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000002_7	Anogam	5.0	Anogam,Anofar	cellia
OG0000002_8	Anogam	5.0	Anogam,Anofar	cellia
OG0000002_9	Anogam	2.0	Anogam,Anoepi	pyretophorus
OG0000002_nan	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000003_0	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000003_1	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000003_2	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000003_nan	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_0	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_1	Anogam	5.0	Anogam,Anofar	cellia
OG0000004_10	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_2	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_3	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_4	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_5	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_6	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000004_7	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000004_8	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_9	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000004_nan	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000005_0	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000005_1	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000005_10	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000005_11	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000005_12	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000005_13	Anogam	5.0	Anogam,Anofar	cellia
OG0000005_14	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000005_15	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000005_16	Anogam	1.0	Anogam,Anochr	pyretophorus_noepi
OG0000005_2	Anogam	5.0	Anogam,Anofar	cellia
OG0000005_3	Anogam	5.0	Anogam,Anofar	cellia
OG0000005_4	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000005_5	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000005_6	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000005_7	Anogam	5.0	Anogam,Anofar	cellia
OG0000005_8	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000005_9	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000005_nan	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000006_0	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000007_0	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000007_1	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000007_2	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000007_3	Anogam	5.0	Anogam,Anofar	cellia
OG0000007_4	Anogam	5.0	Anogam,Anofar	cellia
OG0000007_5	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000007_6	Anogam	5.0	Anogam,Anofar	cellia
OG0000007_7	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000007_8	Anogam	4.0	Anogam,Anomin	cellia_nofar
OG0000007_9	Anogam	5.0	Anogam,Anofar	cellia
OG0000007_nan	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000008_0	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_0	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000009_1	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_10	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_11	Anogam	2.0	Anogam,Anoepi	pyretophorus
OG0000009_12	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_13	Anogam	2.0	Anogam,Anoepi	pyretophorus
OG0000009_14	Anogam	2.0	Anogam,Anoepi	pyretophorus
OG0000009_2	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_3	Anogam	6.0	Anogam,Anoatr	anophelinae_noalb
OG0000009_4	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_5	Anogam	5.0	Anogam,Anofar	cellia
OG0000009_6	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_7	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_8	Anogam	7.0	Anogam,Anoalb	anophelinae
OG0000009_9	Anogam	7.0	Anogam,Anoalb	anophelinae
