2019-10-10 17:27:58,327 [INFO ]	Nodes = 132
2019-10-10 17:27:58,329 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:58,432 [INFO ]	Species overlap score = 0, num speciation events = 143
2019-10-10 17:27:58,444 [INFO ]	Run MCL, num clusters = 31
2019-10-10 17:27:58,453 [INFO ]	Phylogeny = OG0000008
2019-10-10 17:27:58,460 [INFO ]	Nodes = 124
2019-10-10 17:27:58,463 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:58,573 [INFO ]	Species overlap score = 0, num speciation events = 550
2019-10-10 17:27:58,592 [INFO ]	Run MCL, num clusters = 13
2019-10-10 17:27:58,602 [INFO ]	Phylogeny = OG0000009
2019-10-10 17:27:58,608 [INFO ]	Nodes = 122
2019-10-10 17:27:58,610 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:58,711 [INFO ]	Species overlap score = 0, num speciation events = 380
2019-10-10 17:27:58,723 [INFO ]	Run MCL, num clusters = 12
2019-10-10 17:27:58,732 [INFO ]	Phylogeny = OG0000010
2019-10-10 17:27:58,737 [INFO ]	Nodes = 110
2019-10-10 17:27:58,739 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:58,829 [INFO ]	Species overlap score = 0, num speciation events = 556
2019-10-10 17:27:58,849 [INFO ]	Run MCL, num clusters = 12
2019-10-10 17:27:58,860 [INFO ]	Phylogeny = OG0000011
2019-10-10 17:27:58,867 [INFO ]	Nodes = 106
2019-10-10 17:27:58,869 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:58,958 [INFO ]	Species overlap score = 0, num speciation events = 660
2019-10-10 17:27:58,979 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:27:58,990 [INFO ]	Phylogeny = OG0000012
2019-10-10 17:27:58,997 [INFO ]	Nodes = 102
2019-10-10 17:27:58,999 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:59,090 [INFO ]	Species overlap score = 0, num speciation events = 220
2019-10-10 17:27:59,107 [INFO ]	Run MCL, num clusters = 16
2019-10-10 17:27:59,117 [INFO ]	Phylogeny = OG0000013
2019-10-10 17:27:59,122 [INFO ]	Nodes = 99
2019-10-10 17:27:59,124 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:59,207 [INFO ]	Species overlap score = 0, num speciation events = 390
2019-10-10 17:27:59,226 [INFO ]	Run MCL, num clusters = 14
2019-10-10 17:27:59,236 [INFO ]	Phylogeny = OG0000014
2019-10-10 17:27:59,241 [INFO ]	Nodes = 98
2019-10-10 17:27:59,242 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:59,323 [INFO ]	Species overlap score = 0, num speciation events = 584
2019-10-10 17:27:59,347 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:27:59,360 [INFO ]	Phylogeny = OG0000015
2019-10-10 17:27:59,367 [INFO ]	Nodes = 95
2019-10-10 17:27:59,370 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:59,456 [INFO ]	Species overlap score = 0, num speciation events = 338
2019-10-10 17:27:59,474 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:27:59,482 [INFO ]	Phylogeny = OG0000016
2019-10-10 17:27:59,488 [INFO ]	Nodes = 94
2019-10-10 17:27:59,489 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:59,565 [INFO ]	Species overlap score = 0, num speciation events = 446
2019-10-10 17:27:59,582 [INFO ]	Run MCL, num clusters = 13
2019-10-10 17:27:59,592 [INFO ]	Phylogeny = OG0000017
2019-10-10 17:27:59,598 [INFO ]	Nodes = 94
2019-10-10 17:27:59,599 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:59,675 [INFO ]	Species overlap score = 0, num speciation events = 366
2019-10-10 17:27:59,687 [INFO ]	Run MCL, num clusters = 12
2019-10-10 17:27:59,696 [INFO ]	Phylogeny = OG0000018
2019-10-10 17:27:59,702 [INFO ]	Nodes = 94
2019-10-10 17:27:59,704 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:59,783 [INFO ]	Species overlap score = 0, num speciation events = 319
2019-10-10 17:27:59,800 [INFO ]	Run MCL, num clusters = 10
2019-10-10 17:27:59,810 [INFO ]	Phylogeny = OG0000019
2019-10-10 17:27:59,815 [INFO ]	Nodes = 94
2019-10-10 17:27:59,817 [INFO ]	Tree is rooted, pass
2019-10-10 17:27:59,895 [INFO ]	Species overlap score = 0, num speciation events = 420
2019-10-10 17:27:59,911 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:27:59,921 [INFO ]	Phylogeny = OG0000020
2019-10-10 17:27:59,928 [INFO ]	Nodes = 93
2019-10-10 17:27:59,930 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,007 [INFO ]	Species overlap score = 0, num speciation events = 259
2019-10-10 17:28:00,030 [INFO ]	Run MCL, num clusters = 14
2019-10-10 17:28:00,042 [INFO ]	Phylogeny = OG0000021
2019-10-10 17:28:00,051 [INFO ]	Nodes = 89
2019-10-10 17:28:00,054 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,130 [INFO ]	Species overlap score = 0, num speciation events = 428
2019-10-10 17:28:00,149 [INFO ]	Run MCL, num clusters = 6
2019-10-10 17:28:00,160 [INFO ]	Phylogeny = OG0000022
2019-10-10 17:28:00,172 [INFO ]	Nodes = 89
2019-10-10 17:28:00,175 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,248 [INFO ]	Species overlap score = 0, num speciation events = 374
2019-10-10 17:28:00,266 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:28:00,278 [INFO ]	Phylogeny = OG0000023
2019-10-10 17:28:00,283 [INFO ]	Nodes = 88
2019-10-10 17:28:00,285 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,360 [INFO ]	Species overlap score = 0, num speciation events = 226
2019-10-10 17:28:00,373 [INFO ]	Run MCL, num clusters = 14
2019-10-10 17:28:00,383 [INFO ]	Phylogeny = OG0000024
2019-10-10 17:28:00,387 [INFO ]	Nodes = 87
2019-10-10 17:28:00,388 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,456 [INFO ]	Species overlap score = 0, num speciation events = 434
2019-10-10 17:28:00,477 [INFO ]	Run MCL, num clusters = 10
2019-10-10 17:28:00,487 [INFO ]	Phylogeny = OG0000025
2019-10-10 17:28:00,496 [INFO ]	Nodes = 81
2019-10-10 17:28:00,498 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,573 [INFO ]	Species overlap score = 0, num speciation events = 227
2019-10-10 17:28:00,592 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:00,605 [INFO ]	Phylogeny = OG0000026
2019-10-10 17:28:00,610 [INFO ]	Nodes = 80
2019-10-10 17:28:00,611 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,681 [INFO ]	Species overlap score = 0, num speciation events = 393
2019-10-10 17:28:00,702 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:28:00,711 [INFO ]	Phylogeny = OG0000027
2019-10-10 17:28:00,717 [INFO ]	Nodes = 78
2019-10-10 17:28:00,719 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,818 [INFO ]	Species overlap score = 0, num speciation events = 346
2019-10-10 17:28:00,834 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:00,843 [INFO ]	Phylogeny = OG0000028
2019-10-10 17:28:00,848 [INFO ]	Nodes = 78
2019-10-10 17:28:00,850 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:00,921 [INFO ]	Species overlap score = 0, num speciation events = 121
2019-10-10 17:28:00,932 [INFO ]	Run MCL, num clusters = 18
2019-10-10 17:28:00,943 [INFO ]	Phylogeny = OG0000029
2019-10-10 17:28:00,947 [INFO ]	Nodes = 76
2019-10-10 17:28:00,949 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,014 [INFO ]	Species overlap score = 0, num speciation events = 194
2019-10-10 17:28:01,024 [INFO ]	Run MCL, num clusters = 13
2019-10-10 17:28:01,033 [INFO ]	Phylogeny = OG0000030
2019-10-10 17:28:01,036 [INFO ]	Nodes = 76
2019-10-10 17:28:01,037 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,100 [INFO ]	Species overlap score = 0, num speciation events = 284
2019-10-10 17:28:01,116 [INFO ]	Run MCL, num clusters = 3
2019-10-10 17:28:01,128 [INFO ]	Phylogeny = OG0000031
2019-10-10 17:28:01,138 [INFO ]	Nodes = 75
2019-10-10 17:28:01,140 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,203 [INFO ]	Species overlap score = 0, num speciation events = 261
2019-10-10 17:28:01,220 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:28:01,229 [INFO ]	Phylogeny = OG0000032
2019-10-10 17:28:01,233 [INFO ]	Nodes = 72
2019-10-10 17:28:01,234 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,294 [INFO ]	Species overlap score = 0, num speciation events = 201
2019-10-10 17:28:01,305 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:28:01,315 [INFO ]	Phylogeny = OG0000033
2019-10-10 17:28:01,319 [INFO ]	Nodes = 72
2019-10-10 17:28:01,320 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,376 [INFO ]	Species overlap score = 0, num speciation events = 242
2019-10-10 17:28:01,391 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:28:01,402 [INFO ]	Phylogeny = OG0000034
2019-10-10 17:28:01,405 [INFO ]	Nodes = 71
2019-10-10 17:28:01,406 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,463 [INFO ]	Species overlap score = 0, num speciation events = 180
2019-10-10 17:28:01,479 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:01,490 [INFO ]	Phylogeny = OG0000035
2019-10-10 17:28:01,493 [INFO ]	Nodes = 71
2019-10-10 17:28:01,495 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:01,551 [INFO ]	Species overlap score = 0, num speciation events = 314
2019-10-10 17:28:01,562 [INFO ]	Run MCL, num clusters = 10
2019-10-10 17:28:01,573 [INFO ]	Phylogeny = OG0000036
